timestamp,rank,title,link
2025-04-17 11:42:13 UTC,1,"NHS will be pursued if gender policies don't change, equalities watchdog says",https://www.bbc.co.uk/news/articles/ce84054nqnyo
2025-04-17 11:42:13 UTC,2,Doctor Who boss hits back at 'wokeness' criticisms,https://www.bbc.co.uk/news/articles/cm2edrp1e2no
2025-04-17 11:42:13 UTC,3,Scientists find 'strongest evidence yet' of life on distant planet,https://www.bbc.co.uk/news/articles/c39jj9vkr34o
2025-04-17 11:42:13 UTC,4,Plan for GPs to keep millions out of hospital,https://www.bbc.co.uk/news/articles/cgrgqqjdlg4o
2025-04-17 11:42:13 UTC,5,What to know as Menendez brothers ask for freedom in resentencing hearing,https://www.bbc.co.uk/news/articles/c9ve7jlywpro
2025-04-17 11:42:13 UTC,6,US to hold talks on Ukraine with European allies,https://www.bbc.co.uk/news/articles/c93g12g38n4o
2025-04-17 11:42:13 UTC,7,UK bans EU cheese and meat to stop disease spreading,https://www.bbc.co.uk/news/articles/cx2vpp8zzd7o
2025-04-17 11:42:13 UTC,8,Sloth has pioneering surgery to cure toothache,https://www.bbc.co.uk/news/articles/cq80edepeg4o
2025-04-17 11:42:13 UTC,9,When do impressions stop being funny and start being mean?,https://www.bbc.co.uk/news/articles/c1wd8x80xgno
2025-04-17 11:42:13 UTC,10,'Scammers used fake app to steal from me in person',https://www.bbc.co.uk/news/articles/cn05d58jwvdo
