timestamp,rank,title,link
2025-07-12 00:58:21 UTC,1,'Splash and burn' and 'Tax time bomb',https://www.bbc.co.uk/news/articles/clylgrrw9ygo
2025-07-12 00:58:21 UTC,2,Millions face hosepipe bans as UK heatwave reaches 34.7C,https://www.bbc.co.uk/news/articles/crmv8x74ky9o
2025-07-12 00:58:21 UTC,3,BBC faces dilemma over new series of MasterChef,https://www.bbc.co.uk/news/articles/cm2mx9x5yrno
2025-07-12 00:58:21 UTC,4,Faisal Islam: We are heading for significant tax rises,https://www.bbc.co.uk/news/articles/c9dgn647nplo
2025-07-12 00:58:21 UTC,5,Former Met Police commissioner Ian Blair dies,https://www.bbc.co.uk/news/articles/cj61d0rd9gjo
2025-07-12 00:58:21 UTC,6,Teenager buried in sand 'lucky' to be alive,https://www.bbc.co.uk/news/articles/cly82d3rlyvo
2025-07-12 00:58:21 UTC,7,Rayner in deepening row with union over bin strikes,https://www.bbc.co.uk/news/articles/cx24de0d9rdo
2025-07-12 00:58:21 UTC,8,Trump surveys damage in Texas as search continues for 160 missing,https://www.bbc.co.uk/news/articles/cr5vlp0pmdzo
2025-07-12 00:58:21 UTC,9,Man killed outside Knightsbridge hotel named,https://www.bbc.co.uk/news/articles/cqjq9zjq7djo
2025-07-12 00:58:21 UTC,10,"US has resumed military supplies to Ukraine, Zelensky says",https://www.bbc.co.uk/news/articles/crl04200dp4o
